"Zip Code","Community","Estimated Median Income"
90001,"Los Angeles (South Los Angeles), Florence-Graham","$52,806"
90002,"Los Angeles (Southeast Los Angeles, Watts)","$46,159"
90003,"Los Angeles (South Los Angeles, Southeast Los Angeles)","$47,733"
90004,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)","$54,947"
90005,"Los Angeles (Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square)","$44,913"
90006,"Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights)","$41,068"
90007,"Los Angeles (Southeast Los Angeles, Univerity Park)","$33,222"
90008,"Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)","$49,379"
90010,"Los Angeles (Hancock Park, Wilshire Center, Windsor Square)","$76,547"
90011,"Los Angeles (Southeast Los Angeles)","$47,126"
90012,"Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)","$53,278"
90013,"Los Angeles (Downtown Central, Downtown Fashion District)","$22,291"
90014,"Los Angeles (Downtown Historic Core, Arts District)","$31,332"
90015,"Los Angeles (Dowtown Fashion District, South Park-South)","$53,062"
90016,"Los Angeles (West Adams)","$53,659"
90017,"Los Angeles (Downtown Bunker Hill, City West, South Park-North)","$44,607"
90018,"Los Angeles (Jefferson Park, Leimert Park)","$55,275"
90019,"Los Angeles (Arlington Heights, Country Club Park, Mid-City)","$61,616"
90020,"Los Angeles (Hancock Park, Western Wilton, Wilshire Center, Windsor Square)","$51,013"
90021,"Los Angeles (Downtown Fashion District, Downtown Southeast)","$25,364"
90022,"East Los Angeles","$57,464"
90023,"Commerce, East Los Angeles","$48,293"
90024,"Los Angeles (Westwood)","$67,422"
90025,"Los Angeles (Sawtelle, West Los Angeles)","$100,453"
90026,"Los Angeles (Echo Park, Silver Lake)","$70,436"
90027,"Los Angeles (Griffith Park, Hollywood, Los Feliz)","$78,356"
90028,"Los Angeles (Hollywood)","$52,814"
90029,"Los Angeles (East Hollywood)","$50,822"
90031,"Los Angeles (Lincoln Heights, Montecito Heights)","$53,319"
90032,"Los Angeles (El Sereno, Monterey Hills)","$65,761"
90033,"Los Angeles (Boyle Heights)","$49,734"
90034,"Los Angeles (Palms)","$88,490"
90035,"Los Angeles (West Fairfax)","$101,570"
90036,"Los Angeles (Fairfax, Melrose, Miracle Mile, Park La Brea, Wilshire-La Brea)","$87,868"
90037,"Los Angeles (South Los Angeles)","$45,128"
90038,"Los Angeles (Hollywood)","$51,096"
90039,"Los Angeles (Atwater Village, Elysian Valley, Silver Lake)","$99,226"
90040,"Commerce, City of","$56,948"
90041,"Los Angeles (Eagle Rock)","$95,811"
90042,"Los Angeles (Highland Park)","$81,853"
90043,"Los Angeles (Hyde Park, View Park, Windsor Hills)","$60,599"
90044,"Athens, Los Angeles (South Los Angeles)","$43,388"
90045,"Los Angeles (Los Angeles International Airport, Westchester)","$115,943"
90046,"Los Angeles (Hollywood), West Hollywood","$77,162"
90047,"Los Angeles (South Los Angeles)","$62,399"
90048,"Los Angeles (Mid-City West), West Hollywood","$102,567"
90049,"Los Angeles (Bel Air Estates, Brentwood)","$143,000"
90056,"Ladera Heights","$105,744"
90057,"Los Angeles (Westlake)","$43,796"
90058,"Los Angeles (Southeast Los Angeles), Vernon","$33,146"
90059,"Los Angeles (Southeast Los Angeles, Watts), Willowbrook","$47,682"
90061,"Los Angeles (South Los Angeles)","$50,427"
90062,"Los Angeles (South Los Angeles)","$56,500"
90063,"City Terrace, Los Angeles (Boyle Heights)","$57,026"
90064,"Los Angeles (Cheviot Hills, Rancho Park)","$109,357"
90065,"Los Angeles (Cypress Park, Glassell Park, Mt Washington)","$80,386"
90066,"Culver City, Los Angeles (Mar Vista)","$90,983"
90067,"Los Angeles (Century City)","$109,704"
90068,"Los Angeles (Hollywood)","$90,733"
90069,"Los Angeles (Hollywood, Melrose), West Hollywood","$98,440"
90071,"Los Angeles (Downtown Bunker Hill, City West, Historic Core, South Park-North) ","No 2021 estimate ($90,546 in 2020)"
90077,"Los Angeles (Bel Air Estates, Beverly Glen)","$200,625"
90094,"Los Angeles (Playa Vista)","$166,667"
90201,"Bell, Bell Gardens, Cudahy","$49,554"
90210,"Beverly Hills","$154,740"
90211,"Beverly Hills","$89,946"
90212,"Beverly Hills","$91,663"
90220,"Compton, Rancho Dominguez","$65,337"
90221,"Compton, East Rancho Dominguez","$57,610"
90222,"Compton, Rosewood, Willowbrook","$63,843"
90230,"Culver City","$96,837"
90232,"Culver City","$105,932"
90240,"Downey","$91,518"
90241,"Downey","$75,111"
90242,"Downey","$75,005"
90245,"El Segundo","$126,683"
90247,"Gardena","$65,598"
90248,"Gardena","$69,645"
90249,"Gardena","$69,670"
90250,"Hawthorne (Holly Park)","$65,935"
90254,"Hermosa Beach","$144,388"
90255,"Huntington Park, Walnut Park","$53,929"
90260,"Lawndale","$76,236"
90262,"Lynwood","$61,941"
90265,"Malibu","$175,607"
90266,"Manhattan Beach","$169,586"
90270,"Bell, Maywood","$54,631"
90272,"Los Angeles (Castellemare, Pacific Highlands, Pacific Palisades, Topanga State Park)","$212,115"
90274,"Palos Verdes Estates, Rolling Hills, Rolling Hills Estates","$186,144"
90275,"Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills Estates","$158,952"
90277,"Redondo Beach, Torrance","$111,859"
90278,"Redondo Beach, Torrance","$132,479"
90280,"South Gate","$59,713"
90290,"Topanga","$135,262"
90291,"Los Angeles (Venice)","$105,871"
90292,"Los Angeles (Marina Peninsula), Marina del Rey","$137,813"
90293,"Los Angeles (Playa del Rey)","$110,884"
90301,"Inglewood","$55,111"
90302,"Inglewood","$62,794"
90303,"Inglewood","$65,077"
90304,"Inglewood, Lennox","$50,052"
90305,"Inglewood","$80,281"
90401,"Santa Monica (Downtown)","$90,682"
90402,"Santa Monica","$139,667"
90403,"Santa Monica","$113,204"
90404,"Santa Monica","$74,591"
90405,"Santa Monica (Ocean Park, Santa Monica Airport, Sunpark)","$97,010"
90501,"Torrance","$80,816"
90502,"Torrance, West Carson","$89,206"
90503,"Torrance","$105,142"
90504,"Torrance","$97,289"
90505,"Torrance","$101,043"
90601,"City of Industry, Whittier","$86,268"
90602,"Whittier","$55,328"
90603,"Whittier","$109,485"
90604,"East La Mirada, South Whittier, Whittier","$88,342"
90605,"South Whittier, Whittier","$83,667"
90606,"Los Nietos, West Whittier","$82,377"
90631,"La Habra Heights","$93,045"
90638,"La Mirada","$97,838"
90640,"Montebello","$66,460"
90650,"Norwalk","$83,217"
90660,"Pico Rivera","$78,056"
90670,"Santa Fe Springs","$76,397"
90701,"Artesia","$83,321"
90703,"Cerritos","$115,272"
