+----------------+------------------+-----+                                     
|        division|  average_distance|    #|
+----------------+------------------+-----+
|     77TH STREET|2.6459266582805165|94600|
|       SOUTHEAST|2.0919558969506924|77814|
|       SOUTHWEST|2.6100191954914895|72590|
|         CENTRAL|1.0075871034622506|63363|
|          NEWTON|2.0527584242202983|61242|
|         RAMPART|1.5316187638208008|55680|
|         OLYMPIC|1.7549238849123097|52861|
|       HOLLYWOOD|1.4345802975489614|50992|
|         MISSION| 4.703944051992477|43528|
|         PACIFIC| 3.877258046052119|42825|
|      HOLLENBECK| 2.592072004209793|41422|
|          HARBOR|3.9337930851956693|40713|
| NORTH HOLLYWOOD|2.5459818692721794|40297|
|        WILSHIRE|2.4018320140923892|37789|
|       NORTHEAST| 3.993022863004355|37184|
|        FOOTHILL| 4.237044308765642|36868|
|        VAN NUYS|2.1350020211423995|36121|
|         TOPANGA|3.5109014868091584|34694|
|     WEST VALLEY|3.3865137012160598|33797|
|      DEVONSHIRE|3.9809930094809647|32447|
|WEST LOS ANGELES| 3.657903124740535|26963|
+----------------+------------------+-----+
